File Name,Author Name,Link,Total Articles Count,Total Citations (Copied),Total Citations (Calculated),... Count,... Citation Count,False Count,False Citation Count
"Borivoje Nikolic.txt
","Borivoje Nikolic
","https://scholar.google.com/citations?hl=en&user=QEqPllIAAAAJ
",318,17998,17998,53,800,81,3298
"Chris Callison-Burch.txt
","Chris Callison-Burch
","https://scholar.google.com/citations?hl=en&user=nv-MV58AAAAJ
",214,14914,14914,15,663,6,33
"Peter Bartlett.txt
","Peter Bartlett
","https://scholar.google.com/citations?hl=en&user=yQNhFGUAAAAJ
",408,30433,30433,21,42,44,3772
"Gang Qu.txt
","Gang Qu
","https://scholar.google.com/citations?hl=en&user=NtYVK_MAAAAJ
",259,7500,8140,11,100,14,1209
"Magdalena Balazinska.txt
","Magdalena Balazinska
","https://scholar.google.com/citations?hl=en&user=DDxFvcIAAAAJ
",202,12580,12580,8,971,12,528
"Jason Hong.txt
","Jason Hong
","https://scholar.google.com/citations?hl=en&user=MoFbcc0AAAAJ
",301,21598,21598,16,887,9,59
"Rajesh Gupta.txt
","Rajesh Gupta
","https://scholar.google.com/citations?hl=en&user=encAddwAAAAJ
",500,14584,12621,16,387,8,152
"Stefano Tessaro.txt
","Stefano Tessaro
","https://scholar.google.com/citations?hl=en&user=xd_8IiIAAAAJ
",72,1643,1643,1,0,1,0
"Travis Breaux.txt
","Travis Breaux
","https://scholar.google.com/citations?hl=en&user=SjiG_ZsAAAAJ
",135,2213,2237,9,59,4,0
"Steve Marschner.txt
","Steve Marschner
","https://scholar.google.com/citations?hl=en&user=llo3F3QAAAAJ
",141,8745,8745,8,215,6,185
"Anthony Joseph.txt
","Anthony Joseph
","https://scholar.google.com/citations?hl=en&user=KUOnP8wAAAAJ
",20,198,198,3,55,0,0
"Jason Corso.txt
","Jason Corso
","https://scholar.google.com/citations?hl=en&user=g9bV-_sAAAAJ
",251,5992,5992,12,1204,10,8
"David Jacobs.txt
","David Jacobs
","https://scholar.google.com/citations?hl=en&user=WH2KmRgAAAAJ
",203,15989,17095,5,1563,5,168
"Daniel Jackson.txt
","Daniel Jackson
","https://scholar.google.com/citations?hl=en&user=PXY96lkAAAAJ
",201,11111,11111,6,0,7,249
"Vivienne Sze.txt
","Vivienne Sze
","https://scholar.google.com/citations?hl=en&user=hNWGC5QAAAAJ
",119,5303,5303,2,124,1,92
"Yulia Tsvetkov.txt
","Yulia Tsvetkov
","https://scholar.google.com/citations?hl=en&user=SEDPkrsAAAAJ
",48,1173,1173,3,24,0,0
