Name,Region,University,Link,Total_citations,Total_citations_since_2015,H_index,H_index_since_2015,I10_index,I10_index_since_2015,Total articles,Copied Citations (Total),Calculated Citations (Scraped),Fake article count,Fake citation count,Star article count,Star citation count,Dash article count,Dash citation count,Percent of Fake Articles,Percent of Fake Citations
"Sahal Yacoob
","middle+east+south africa
","University of Cape Town
",https://scholar.google.com/citations?hl=en&user=hQ_VSy4AAAAJ,153597,97151,169,128,803,667,300,150909,141309,300,141309,0,0,0,0,100,100
"Loan Truong
","middle+east+south africa
","University of Johannesburg
",https://scholar.google.com/citations?hl=en&user=Lu7kOt0AAAAJ,36657,35971,100,100,342,342,300,35291,34484,300,34484,0,0,0,0,100,100
"Nomvar Kurbonov 
","central asia
","Tajik National University
",https://scholar.google.com/citations?hl=en&user=gwIPGSgAAAAJ,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,100,100
"Emilbek Musabaev
","central asia
","Kyrgyz State Technical University
",https://scholar.google.com/citations?hl=en&user=LeHeDpIAAAAJ,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,100,100
"Pekka Sinervo
","north america
","University of toronto
",https://scholar.google.com/citations?hl=en&user=k9L6jPYAAAAJ,271995,126797,206,131,1165,749,300,267060,542241,299,541163,1,1078,0,0,99.66666667,99.80119541
"Sergey Peleganchuk
","eastern europe
","Novosibirsk State University
",https://scholar.google.com/citations?hl=en&user=1mbK_dgAAAAJ,121837,82280,131,113,524,472,300,119909,206208,293,205610,1,68,0,0,97.66666667,99.71000155
"Philip Butler 
","australia+new zealnd
","University of Cantebury
",https://scholar.google.com/citations?hl=en&user=c_9GR9MAAAAJ,120355,84767,155,128,614,543,300,119211,259026,294,257757,0,0,0,0,98,99.51008779
"Farida Fassi
","north+west africa
","Mohammed V University of Rabat
",https://scholar.google.com/citations?hl=en&user=xzPMuAUAAAAJ,174415,121727,185,153,676,639,300,174857,165852,297,164876,0,0,0,0,99,99.41152353
"Simon Connell
","middle+east+south africa
","University of Johannesburg
",https://scholar.google.com/citations?hl=en&user=pVS2ZiMAAAAJ,30272,26799,72,70,163,111,300,29610,372573,261,370346,2,147,6,439,87,99.40226479
"Yuri Tikhonov
","eastern europe
","Novosibirsk State University
",https://scholar.google.com/citations?hl=en&user=rnevOEoAAAAJ,148025,102487,167,141,686,606,300,143459,138415,293,137286,0,0,0,0,97.66666667,99.18433696
